OPERATOR,ADJUSTED_ONTIME_COUNT,ADJUSTED_EARLY_COUNT,ADJUSTED_LATE_COUNT,Total_Trips,OnTime_Pct,Early_Pct,Late_Pct,Performance_Category
1762,2294,16,23,2333,98.32833261894557,0.6858122588941277,0.9858551221603087,Excellent
1597,252,0,6,258,97.67441860465115,0.0,2.3255813953488373,Excellent
2639,202,3,2,207,97.58454106280193,1.4492753623188406,0.966183574879227,Excellent
2573,400,0,12,412,97.0873786407767,0.0,2.912621359223301,Excellent
409,2310,9,61,2380,97.05882352941177,0.37815126050420167,2.5630252100840334,Excellent
1566,2135,17,48,2200,97.04545454545455,0.7727272727272727,2.181818181818182,Excellent
2355,508,5,11,524,96.94656488549617,0.9541984732824428,2.099236641221374,Excellent
522,1753,13,53,1819,96.37163276525563,0.7146783947223749,2.9136888400219902,Excellent
2493,52,1,1,54,96.29629629629629,1.8518518518518516,1.8518518518518516,Excellent
379,2172,31,56,2259,96.14873837981408,1.3722886232846392,2.478972996901284,Excellent
1927,2317,38,58,2413,96.02154993783671,1.574803149606299,2.403646912556983,Excellent
723,1203,25,26,1254,95.93301435406698,1.9936204146730463,2.073365231259968,Excellent
1040,1695,53,22,1770,95.76271186440678,2.994350282485876,1.2429378531073447,Excellent
1133,2505,13,107,2625,95.42857142857143,0.4952380952380952,4.076190476190476,Excellent
1617,1721,31,54,1806,95.29346622369879,1.716500553709856,2.990033222591362,Excellent
2432,229,4,9,242,94.62809917355372,1.6528925619834711,3.71900826446281,Excellent
1394,1174,29,40,1243,94.44891391794047,2.333065164923572,3.2180209171359615,Excellent
2321,1335,19,66,1420,94.01408450704226,1.3380281690140845,4.647887323943662,Excellent
1305,1490,27,73,1590,93.71069182389937,1.6981132075471699,4.5911949685534585,Excellent
2322,996,37,31,1064,93.60902255639097,3.477443609022556,2.913533834586466,Excellent
2623,895,12,52,959,93.32638164754952,1.251303441084463,5.422314911366007,Excellent
2809,429,10,21,460,93.26086956521739,2.1739130434782608,4.565217391304348,Excellent
2374,1625,13,108,1746,93.06987399770905,0.7445589919816723,6.185567010309279,Excellent
2041,1437,14,97,1548,92.82945736434108,0.9043927648578811,6.266149870801034,Excellent
2088,1876,52,93,2021,92.82533399307273,2.5729836714497774,4.601682335477486,Excellent
1198,99,0,8,107,92.5233644859813,0.0,7.476635514018691,Excellent
1703,1172,35,63,1270,92.28346456692913,2.7559055118110236,4.960629921259843,Excellent
3138,258,15,7,280,92.14285714285714,5.357142857142857,2.5,Excellent
1682,1454,11,118,1583,91.85091598231206,0.6948831332912192,7.454200884396715,Excellent
1780,356,11,22,389,91.51670951156812,2.827763496143959,5.655526992287918,Excellent
2103,529,40,11,580,91.20689655172414,6.896551724137931,1.896551724137931,Excellent
2610,1164,8,106,1278,91.07981220657277,0.6259780907668232,8.294209702660407,Excellent
2958,816,29,51,896,91.07142857142857,3.2366071428571432,5.691964285714286,Excellent
1147,2439,159,88,2686,90.8041697691735,5.919583023082651,3.276247207743857,Excellent
2584,616,10,53,679,90.72164948453609,1.4727540500736376,7.80559646539028,Excellent
1343,1671,62,109,1842,90.71661237785015,3.3659066232356136,5.917480998914224,Excellent
1170,1923,187,13,2123,90.57936881771079,8.808290155440414,0.6123410268487989,Excellent
1598,686,11,63,760,90.26315789473685,1.4473684210526316,8.289473684210526,Excellent
1761,1917,178,31,2126,90.16933207902163,8.372530573847602,1.458137347130762,Excellent
1368,2117,42,190,2349,90.12345679012346,1.7879948914431671,8.088548318433377,Excellent
2649,952,23,84,1059,89.8961284230406,2.1718602455146363,7.932011331444759,Good
1208,1641,44,141,1826,89.86856516977,2.4096385542168677,7.721796276013143,Good
1601,1026,2,114,1142,89.84238178633976,0.17513134851138354,9.98248686514886,Good
1716,649,29,45,723,89.76486860304288,4.011065006915629,6.224066390041494,Good
1489,1130,65,65,1260,89.68253968253968,5.158730158730158,5.158730158730158,Good
1052,1562,7,174,1743,89.61560527825588,0.4016064257028112,9.982788296041308,Good
2178,93,2,9,104,89.42307692307693,1.9230769230769231,8.653846153846153,Good
1992,1660,20,177,1857,89.39149165320408,1.0770059235325793,9.531502423263328,Good
2697,1041,19,111,1171,88.89837745516652,1.6225448334756618,9.479077711357814,Good
1372,1730,3,214,1947,88.85464817668208,0.15408320493066258,10.991268618387263,Good
2207,696,8,80,784,88.77551020408163,1.0204081632653061,10.204081632653061,Good
1505,853,10,99,962,88.66943866943868,1.0395010395010396,10.291060291060292,Good
304,2155,3,275,2433,88.5737772297575,0.12330456226880394,11.302918207973695,Good
1419,681,24,65,770,88.44155844155844,3.116883116883117,8.441558441558442,Good
1838,278,4,33,315,88.25396825396825,1.2698412698412698,10.476190476190476,Good
2764,569,8,68,645,88.21705426356588,1.2403100775193798,10.542635658914728,Good
1410,2027,28,243,2298,88.20713664055701,1.2184508268059182,10.574412532637076,Good
1266,2522,75,268,2865,88.0279232111693,2.6178010471204187,9.354275741710296,Good
1330,1261,55,117,1433,87.99720865317515,3.8381018841591072,8.164689462665736,Good
2762,299,8,33,340,87.94117647058823,2.3529411764705883,9.705882352941178,Good
2669,437,4,56,497,87.92756539235413,0.8048289738430584,11.267605633802818,Good
1865,976,26,110,1112,87.76978417266187,2.338129496402878,9.892086330935252,Good
1823,1834,34,222,2090,87.7511961722488,1.6267942583732056,10.62200956937799,Good
2161,1363,15,176,1554,87.7091377091377,0.9652509652509652,11.325611325611327,Good
785,1455,120,85,1660,87.65060240963855,7.228915662650602,5.120481927710843,Good
2253,70,1,9,80,87.5,1.25,11.25,Good
1915,342,32,17,391,87.46803069053708,8.184143222506394,4.3478260869565215,Good
1743,673,36,61,770,87.40259740259741,4.675324675324675,7.922077922077922,Good
1619,815,8,110,933,87.35262593783494,0.857449088960343,11.789924973204716,Good
3100,698,10,92,800,87.25,1.25,11.5,Good
611,981,0,144,1125,87.2,0.0,12.8,Good
1848,551,36,45,632,87.18354430379746,5.69620253164557,7.120253164556963,Good
624,909,39,96,1044,87.06896551724138,3.7356321839080464,9.195402298850574,Good
3116,376,4,52,432,87.03703703703704,0.9259259259259258,12.037037037037036,Good
2505,944,38,109,1091,86.52612282309808,3.4830430797433545,9.99083409715857,Good
341,1014,50,109,1173,86.44501278772378,4.262574595055414,9.292412617220801,Good
3149,76,4,8,88,86.36363636363636,4.545454545454546,9.090909090909092,Good
2458,1153,78,105,1336,86.30239520958084,5.838323353293413,7.859281437125748,Good
1914,1802,21,266,2089,86.26136907611297,1.0052656773575874,12.733365246529441,Good
1893,1439,17,214,1670,86.16766467065868,1.0179640718562875,12.81437125748503,Good
1867,330,8,45,383,86.16187989556136,2.088772845953003,11.74934725848564,Good
2821,501,10,71,582,86.08247422680412,1.718213058419244,12.199312714776632,Good
2348,955,8,149,1112,85.88129496402878,0.7194244604316548,13.399280575539569,Good
3027,261,15,28,304,85.85526315789474,4.934210526315789,9.210526315789473,Good
2217,1158,22,171,1351,85.71428571428571,1.6284233900814211,12.657290895632864,Good
2040,1255,86,124,1465,85.6655290102389,5.870307167235495,8.464163822525597,Good
2200,1320,13,209,1542,85.60311284046692,0.8430609597924773,13.553826199740596,Good
1457,1083,75,109,1267,85.47750591949487,5.919494869771113,8.602999210734017,Good
1190,1603,30,244,1877,85.40223761321258,1.5982951518380393,12.999467234949389,Good
329,1749,35,264,2048,85.400390625,1.708984375,12.890625,Good
2424,2146,46,325,2517,85.26023043305523,1.8275725069527213,12.912197059992053,Good
2876,855,6,142,1003,85.24426719840478,0.5982053838484547,14.15752741774676,Good
1251,890,20,135,1045,85.16746411483254,1.9138755980861244,12.918660287081341,Good
2534,691,71,51,813,84.9938499384994,8.733087330873309,6.273062730627306,Good
1782,707,25,100,832,84.97596153846155,3.0048076923076925,12.01923076923077,Good
3015,584,3,101,688,84.88372093023256,0.436046511627907,14.680232558139537,Good
2675,911,139,25,1075,84.74418604651163,12.930232558139535,2.3255813953488373,Good
1763,1210,14,204,1428,84.73389355742297,0.9803921568627451,14.285714285714285,Good
1078,249,0,45,294,84.6938775510204,0.0,15.306122448979592,Good
1717,1259,178,50,1487,84.66711499663752,11.970410221923336,3.362474781439139,Good
2357,954,55,119,1128,84.57446808510637,4.875886524822695,10.549645390070921,Good
1621,141,7,19,167,84.4311377245509,4.191616766467066,11.377245508982035,Good
517,1503,8,272,1783,84.29613011777903,0.448681996634885,15.255187885586091,Good
2399,2041,21,367,2429,84.02634829147797,0.8645533141210375,15.109098394400988,Good
3129,796,51,102,949,83.8777660695469,5.374077976817703,10.748155953635406,Good
1713,830,12,149,991,83.75378405650858,1.2108980827447022,15.03531786074672,Good
1582,1821,11,343,2175,83.72413793103448,0.5057471264367815,15.770114942528735,Good
1948,1306,10,245,1561,83.66431774503523,0.6406149903907752,15.695067264573993,Good
2972,915,17,163,1095,83.56164383561644,1.552511415525114,14.885844748858448,Good
1984,273,7,47,327,83.4862385321101,2.1406727828746175,14.37308868501529,Good
1866,1023,27,176,1226,83.442088091354,2.202283849918434,14.355628058727568,Good
2545,714,16,126,856,83.41121495327103,1.8691588785046727,14.719626168224298,Good
1175,905,7,173,1085,83.41013824884793,0.6451612903225806,15.944700460829491,Good
2055,1420,2,281,1703,83.38226658837345,0.11743981209630064,16.50029359953024,Good
3126,595,11,108,714,83.33333333333334,1.5406162464985995,15.126050420168067,Good
3102,404,34,47,485,83.29896907216495,7.010309278350515,9.690721649484537,Good
559,1687,3,340,2030,83.10344827586206,0.1477832512315271,16.748768472906402,Good
2967,1207,24,222,1453,83.06951135581555,1.6517549896765313,15.278733654507914,Good
1361,1567,162,158,1887,83.04186539480656,8.585055643879173,8.373078961314254,Good
1824,1750,35,323,2108,83.01707779886148,1.6603415559772294,15.32258064516129,Good
778,1323,103,170,1596,82.89473684210526,6.453634085213032,10.651629072681704,Good
2503,397,12,71,480,82.70833333333333,2.5,14.791666666666666,Good
1892,1160,41,203,1404,82.62108262108262,2.92022792022792,14.458689458689458,Good
2662,90,16,3,109,82.56880733944955,14.678899082568808,2.7522935779816518,Good
414,1196,26,227,1449,82.53968253968253,1.7943409247757072,15.665976535541754,Good
1542,1171,7,241,1419,82.52290345313601,0.49330514446793516,16.983791402396054,Good
2987,179,7,31,217,82.48847926267281,3.225806451612903,14.285714285714285,Good
2352,2148,216,241,2605,82.45681381957773,8.291746641074855,9.251439539347409,Good
1788,1483,30,288,1801,82.34314269850084,1.6657412548584118,15.991116046640755,Good
2059,968,28,183,1179,82.10347752332486,2.374893977947413,15.521628498727736,Good
2177,866,15,174,1055,82.08530805687204,1.4218009478672986,16.492890995260666,Good
2228,260,9,48,317,82.01892744479495,2.8391167192429023,15.141955835962145,Good
2733,1855,118,289,2262,82.00707338638374,5.216622458001768,12.7763041556145,Good
3012,785,5,168,958,81.94154488517745,0.5219206680584552,17.536534446764094,Good
2230,969,161,54,1184,81.84121621621621,13.597972972972974,4.5608108108108105,Good
471,673,8,142,823,81.77399756986634,0.9720534629404617,17.253948967193196,Good
2976,588,17,115,720,81.66666666666667,2.361111111111111,15.972222222222221,Good
1362,44,0,10,54,81.48148148148148,0.0,18.51851851851852,Good
2969,1024,77,157,1258,81.39904610492846,6.120826709062003,12.48012718600954,Good
1736,1133,23,237,1393,81.33524766690596,1.6511127063890882,17.013639626704954,Good
2703,611,14,127,752,81.25,1.8617021276595744,16.888297872340424,Good
2529,960,90,132,1182,81.21827411167513,7.614213197969544,11.16751269035533,Good
2978,836,30,164,1030,81.16504854368932,2.912621359223301,15.922330097087379,Good
2563,359,70,14,443,81.03837471783297,15.80135440180587,3.160270880361174,Good
2127,1132,49,217,1398,80.97281831187411,3.5050071530758222,15.52217453505007,Good
1797,625,59,88,772,80.95854922279793,7.642487046632124,11.398963730569948,Good
1202,673,17,144,834,80.69544364508393,2.038369304556355,17.26618705035971,Good
2440,769,36,148,953,80.69254984260232,3.777544596012592,15.5299055613851,Good
3079,1075,107,155,1337,80.40388930441287,8.00299177262528,11.593118922961855,Good
2780,1767,39,392,2198,80.39126478616924,1.7743403093721566,17.8343949044586,Good
2033,708,12,162,882,80.27210884353741,1.3605442176870748,18.367346938775512,Good
2164,1532,27,350,1909,80.25144054478784,1.4143530644316398,18.334206390780512,Good
1379,1031,22,233,1286,80.17107309486781,1.7107309486780715,18.118195956454123,Good
1391,537,35,98,670,80.14925373134328,5.223880597014925,14.626865671641792,Good
2324,1162,12,277,1451,80.08270158511371,0.8270158511371467,19.09028256374914,Good
1673,614,1,153,768,79.94791666666666,0.13020833333333331,19.921875,Average
2479,235,12,47,294,79.93197278911565,4.081632653061225,15.98639455782313,Average
1177,1374,27,319,1720,79.88372093023256,1.5697674418604652,18.546511627906977,Average
1524,384,18,79,481,79.83367983367984,3.7422037422037424,16.424116424116423,Average
2638,1586,34,367,1987,79.81882234524409,1.7111222949169602,18.470055359838952,Average
2567,1317,43,294,1654,79.62515114873035,2.599758162031439,17.77509068923821,Average
2752,859,36,184,1079,79.61075069508804,3.3364226135310475,17.05282669138091,Average
2497,312,4,76,392,79.59183673469387,1.0204081632653061,19.387755102040817,Average
2246,1895,25,462,2382,79.55499580184718,1.0495382031905962,19.395465994962215,Average
2221,494,2,126,622,79.42122186495176,0.3215434083601286,20.257234726688104,Average
3020,613,29,130,772,79.40414507772022,3.756476683937824,16.83937823834197,Average
3124,555,19,125,699,79.39914163090128,2.7181688125894135,17.8826895565093,Average
2586,501,32,98,631,79.39778129952457,5.071315372424722,15.530903328050712,Average
1792,1405,5,360,1770,79.37853107344633,0.2824858757062147,20.33898305084746,Average
2001,1561,12,398,1971,79.19837645865043,0.60882800608828,20.192795535261286,Average
2459,646,16,156,818,78.97310513447434,1.9559902200488997,19.070904645476773,Average
572,716,38,154,908,78.8546255506608,4.185022026431718,16.96035242290749,Average
2594,744,98,102,944,78.8135593220339,10.38135593220339,10.805084745762713,Average
2603,505,14,122,641,78.78315132605304,2.1840873634945397,19.03276131045242,Average
2569,411,66,45,522,78.73563218390804,12.643678160919542,8.620689655172415,Average
2624,644,43,131,818,78.72860635696821,5.256723716381418,16.014669926650367,Average
1222,1441,8,383,1832,78.65720524017468,0.43668122270742354,20.906113537117903,Average
3016,828,26,199,1053,78.63247863247864,2.4691358024691357,18.89838556505223,Average
1603,433,86,32,551,78.58439201451905,15.60798548094374,5.807622504537205,Average
3122,984,16,256,1256,78.343949044586,1.2738853503184715,20.382165605095544,Average
2793,1382,31,352,1765,78.30028328611898,1.7563739376770537,19.943342776203966,Average
659,1492,379,44,1915,77.911227154047,19.7911227154047,2.297650130548303,Average
1406,224,2,62,288,77.77777777777779,0.6944444444444444,21.52777777777778,Average
2760,1835,38,487,2360,77.7542372881356,1.6101694915254237,20.635593220338983,Average
2371,1124,92,230,1446,77.731673582296,6.36237897648686,15.90594744121715,Average
2512,901,54,205,1160,77.67241379310344,4.655172413793104,17.67241379310345,Average
2062,1523,61,386,1970,77.30964467005076,3.0964467005076144,19.593908629441625,Average
2706,1784,98,428,2310,77.22943722943722,4.242424242424243,18.528138528138527,Average
2630,1485,35,407,1927,77.0627919045148,1.816294758692268,21.120913336792942,Average
1401,1601,54,425,2080,76.97115384615385,2.5961538461538463,20.432692307692307,Average
2112,1199,234,136,1569,76.41810070108349,14.91395793499044,8.667941363926067,Average
1623,1664,25,489,2178,76.40036730945822,1.147842056932966,22.451790633608816,Average
1500,1354,115,304,1773,76.3677382966723,6.486181613085167,17.146080090242528,Average
332,1820,54,518,2392,76.08695652173914,2.25752508361204,21.65551839464883,Average
2689,1089,9,335,1433,75.99441730635031,0.6280530355896721,23.377529658060013,Average
2963,1173,6,367,1546,75.8732212160414,0.38809831824062097,23.73868046571798,Average
2125,503,3,160,666,75.52552552552552,0.45045045045045046,24.024024024024023,Average
3156,219,0,71,290,75.51724137931033,0.0,24.482758620689655,Average
1590,1585,12,506,2103,75.36852116024727,0.5706134094151213,24.060865430337614,Average
326,1592,45,483,2120,75.09433962264151,2.1226415094339623,22.78301886792453,Average
2053,1389,19,445,1853,74.95952509444145,1.0253642741500268,24.015110631408525,Average
2549,717,26,215,958,74.84342379958247,2.7139874739039667,22.44258872651357,Average
3090,1474,12,485,1971,74.7843734145104,0.60882800608828,24.606798579401318,Average
359,860,17,276,1153,74.58803122289679,1.4744145706851692,23.937554206418042,Average
2151,495,27,143,665,74.43609022556392,4.06015037593985,21.503759398496243,Average
2629,596,20,185,801,74.40699126092385,2.4968789013732833,23.096129837702872,Average
3035,92,3,29,124,74.19354838709677,2.4193548387096775,23.387096774193548,Average
2335,729,20,234,983,74.16073245167854,2.034587995930824,23.80467955239064,Average
1705,459,7,153,619,74.1518578352181,1.1308562197092082,24.717285945072696,Average
2138,607,19,193,819,74.11477411477412,2.31990231990232,23.565323565323563,Average
1842,1090,45,336,1471,74.09925220938138,3.059143439836846,22.84160435078178,Average
2441,442,63,92,597,74.03685092127303,10.552763819095476,15.41038525963149,Average
1650,1699,15,581,2295,74.03050108932462,0.6535947712418301,25.315904139433552,Average
3031,1504,40,499,2043,73.61722956436613,1.957905041605482,24.424865394028387,Average
1997,873,5,309,1187,73.54675652906487,0.42122999157540014,26.032013479359726,Average
2012,1367,12,482,1861,73.45513164965072,0.6448146157979581,25.900053734551314,Average
2832,1169,63,364,1596,73.24561403508771,3.9473684210526314,22.807017543859647,Average
2792,1005,11,360,1376,73.03779069767442,0.7994186046511629,26.16279069767442,Average
2500,1054,47,345,1446,72.89073305670816,3.250345781466114,23.858921161825727,Average
2590,541,21,181,743,72.8129205921938,2.826379542395693,24.3606998654105,Average
3001,365,15,123,503,72.56461232604374,2.982107355864811,24.45328031809145,Average
2547,740,47,233,1020,72.54901960784314,4.6078431372549025,22.84313725490196,Average
2368,379,14,130,523,72.46653919694073,2.676864244741874,24.8565965583174,Average
2580,668,21,236,925,72.21621621621621,2.27027027027027,25.513513513513512,Average
1237,1456,58,507,2021,72.04354280059377,2.8698664027709055,25.086590796635328,Average
520,1537,25,572,2134,72.02436738519212,1.1715089034676665,26.804123711340207,Average
2693,134,17,36,187,71.65775401069519,9.090909090909092,19.25133689839572,Average
2990,1390,115,436,1941,71.61257083977331,5.92478104070067,22.46264811952602,Average
1742,195,19,59,273,71.42857142857143,6.95970695970696,21.611721611721613,Average
2427,559,110,115,784,71.30102040816327,14.030612244897958,14.668367346938776,Average
2642,460,9,182,651,70.6605222734255,1.3824884792626728,27.956989247311824,Average
2254,518,53,164,735,70.47619047619048,7.210884353741497,22.312925170068027,Average
1815,602,4,249,855,70.4093567251462,0.46783625730994155,29.122807017543863,Average
2448,454,5,186,645,70.3875968992248,0.7751937984496124,28.837209302325583,Average
1814,538,20,207,765,70.32679738562092,2.6143790849673203,27.058823529411764,Average
3103,68,2,27,97,70.10309278350515,2.0618556701030926,27.835051546391753,Average
3142,442,4,185,631,70.04754358161648,0.6339144215530903,29.318541996830426,Average
2765,1069,64,395,1528,69.9607329842932,4.18848167539267,25.850785340314136,Below Average
2618,58,2,23,83,69.87951807228916,2.4096385542168677,27.710843373493976,Below Average
907,412,62,117,591,69.7123519458545,10.490693739424705,19.796954314720814,Below Average
1730,460,181,20,661,69.59152798789712,27.382753403933435,3.0257186081694405,Below Average
3099,605,103,162,870,69.54022988505747,11.839080459770116,18.620689655172416,Below Average
1889,141,0,62,203,69.45812807881774,0.0,30.541871921182267,Below Average
1206,783,9,337,1129,69.35341009743135,0.7971656333038087,29.849424269264833,Below Average
2962,532,4,232,768,69.27083333333334,0.5208333333333333,30.208333333333332,Below Average
3088,189,2,82,273,69.23076923076923,0.7326007326007326,30.036630036630036,Below Average
1845,37,0,17,54,68.51851851851852,0.0,31.48148148148148,Below Average
2423,37,1,16,54,68.51851851851852,1.8518518518518516,29.629629629629626,Below Average
2546,118,3,52,173,68.20809248554913,1.7341040462427744,30.057803468208093,Below Average
653,131,0,64,195,67.17948717948717,0.0,32.82051282051282,Below Average
1880,51,2,23,76,67.10526315789474,2.631578947368421,30.263157894736842,Below Average
2560,731,25,346,1102,66.33393829401089,2.268602540834846,31.397459165154263,Below Average
2751,396,37,169,602,65.78073089700996,6.146179401993355,28.07308970099668,Below Average
3128,519,23,249,791,65.61314791403287,2.9077117572692797,31.479140328697852,Below Average
2428,315,11,155,481,65.48856548856548,2.2869022869022873,32.224532224532226,Below Average
2943,261,10,128,399,65.41353383458647,2.506265664160401,32.08020050125313,Below Average
3140,548,12,286,846,64.77541371158392,1.4184397163120568,33.80614657210402,Below Average
2530,44,0,24,68,64.70588235294117,0.0,35.294117647058826,Below Average
3144,427,65,171,663,64.40422322775264,9.803921568627452,25.791855203619914,Below Average
3087,861,23,473,1357,63.448784082535006,1.694915254237288,34.85630066322771,Below Average
2817,425,65,183,673,63.15007429420505,9.658246656760774,27.191679049034175,Below Average
1204,1336,15,767,2118,63.078375826251175,0.708215297450425,36.213408876298395,Below Average
2306,782,49,415,1246,62.76083467094703,3.932584269662921,33.30658105939005,Below Average
1593,776,25,438,1239,62.631154156577885,2.0177562550443904,35.351089588377725,Below Average
1958,807,12,486,1305,61.839080459770116,0.9195402298850575,37.24137931034483,Below Average
1922,69,0,43,112,61.60714285714286,0.0,38.392857142857146,Below Average
3013,801,45,456,1302,61.52073732718893,3.4562211981566824,35.02304147465438,Below Average
2362,384,19,226,629,61.04928457869634,3.0206677265500796,35.930047694753576,Below Average
2577,227,6,142,375,60.53333333333333,1.6,37.86666666666667,Below Average
3093,488,20,307,815,59.87730061349693,2.4539877300613497,37.668711656441715,Below Average
2694,280,38,150,468,59.82905982905983,8.11965811965812,32.05128205128205,Below Average
1359,922,81,545,1548,59.56072351421189,5.232558139534884,35.20671834625323,Below Average
3064,1113,22,750,1885,59.04509283819629,1.16710875331565,39.787798408488065,Below Average
2082,1028,7,724,1759,58.44229675952246,0.3979533826037522,41.15974985787379,Below Average
2356,820,16,572,1408,58.23863636363637,1.1363636363636365,40.625,Below Average
2779,85,1,60,146,58.21917808219178,0.684931506849315,41.0958904109589,Below Average
1277,795,12,568,1375,57.81818181818181,0.8727272727272728,41.309090909090905,Below Average
2600,169,11,113,293,57.67918088737202,3.754266211604096,38.56655290102389,Below Average
2102,398,23,271,692,57.51445086705203,3.3236994219653178,39.16184971098266,Below Average
1352,954,11,728,1693,56.34967513290018,0.6497341996455995,43.000590667454226,Below Average
2531,358,6,275,639,56.02503912363067,0.9389671361502347,43.03599374021909,Below Average
2954,467,28,344,839,55.661501787842674,3.3373063170441,41.00119189511323,Below Average
2585,430,15,333,778,55.26992287917738,1.9280205655526992,42.80205655526992,Below Average
357,866,35,683,1584,54.67171717171717,2.20959595959596,43.118686868686865,Below Average
2109,1139,18,936,2093,54.41949354992833,0.8600095556617295,44.72049689440994,Below Average
1938,38,7,26,71,53.52112676056338,9.859154929577464,36.61971830985916,Below Average
2783,706,54,595,1355,52.103321033210335,3.985239852398524,43.91143911439114,Below Average
2747,232,26,211,469,49.46695095948827,5.543710021321962,44.989339019189764,Below Average
1800,789,26,810,1625,48.55384615384615,1.6,49.84615384615385,Below Average
3120,326,42,319,687,47.45269286754003,6.11353711790393,46.43377001455604,Below Average
1904,429,16,461,906,47.35099337748344,1.7660044150110374,50.88300220750553,Below Average
2714,323,12,380,715,45.17482517482517,1.6783216783216783,53.14685314685315,Below Average
3101,579,19,699,1297,44.64148033924441,1.4649190439475714,53.89360061680802,Below Average
2312,582,16,714,1312,44.359756097560975,1.2195121951219512,54.420731707317074,Below Average
3098,199,7,251,457,43.544857768052516,1.5317286652078774,54.92341356673961,Below Average
3096,427,41,534,1002,42.61477045908183,4.091816367265469,53.293413173652695,Below Average
1016,51,0,87,138,36.95652173913043,0.0,63.04347826086957,Below Average
2400,45,15,70,130,34.61538461538461,11.538461538461538,53.84615384615385,Below Average
1377,12,0,48,60,20.0,0.0,80.0,Below Average
